Opponent_Hand,Opponent_Rank,Opponent_Age,Player_Age,Player_result,Clay,Grass,Hard,ATP,Grand_Slam,Masters
0,29,21,29,False,0,0,1,1,0,0
0,19,29,29,True,0,0,1,1,0,0
0,55,34,29,True,0,0,1,1,0,0
0,9,29,27,False,0,0,1,1,0,0
0,38,29,27,True,0,0,1,1,0,0
1,75,23,27,True,0,0,1,1,0,0
0,39,20,27,False,0,0,1,0,1,0
0,94,33,27,True,0,0,1,0,1,0
0,102,29,27,True,0,0,1,0,1,0
0,77,24,27,False,0,0,1,0,0,1
1,94,37,27,True,0,0,1,0,0,1
1,2,32,27,False,1,0,0,0,0,1
0,44,28,27,True,1,0,0,0,0,1
0,55,23,27,True,1,0,0,0,0,1
0,81,23,27,False,1,0,0,1,0,0
1,37,35,27,True,1,0,0,1,0,0
0,57,21,27,False,1,0,0,0,0,1
0,51,29,27,False,1,0,0,0,0,1
1,84,28,28,False,1,0,0,1,0,0
0,303,34,28,True,1,0,0,0,1,0
0,13,30,28,True,1,0,0,0,1,0
0,28,34,28,False,1,0,0,0,1,0
0,21,18,28,False,0,1,0,1,0,0
1,84,20,28,False,0,1,0,0,1,0
1,405,28,28,False,0,0,1,1,0,0
1,24,29,28,False,0,0,1,1,0,0
0,94,29,28,True,0,0,1,1,0,0
0,22,34,28,False,0,0,1,0,0,1
0,23,34,28,False,0,0,1,0,0,1
0,77,35,28,True,0,0,1,0,1,0
0,12,22,28,True,0,0,1,0,1,0
0,94,23,28,True,0,0,1,0,1,0
0,38,20,28,True,0,0,1,0,1,0
0,3,38,28,True,0,0,1,0,1,0
0,5,23,28,False,0,0,1,0,1,0
0,71,22,28,False,0,0,1,1,0,0
0,48,29,28,True,0,0,1,1,0,0
0,35,21,28,False,0,0,1,1,0,0
0,50,32,28,False,0,0,1,1,0,0
0,11,23,28,False,0,0,1,1,0,0
0,92,27,28,True,0,0,1,1,0,0
0,1,32,28,False,0,0,1,0,0,1
0,42,23,28,True,0,0,1,0,0,1
0,5,26,28,True,0,0,1,0,0,1
0,14,28,28,True,0,0,1,0,0,1
1,56,21,28,True,0,0,1,0,0,1
0,112,24,30,False,0,0,1,1,0,0
0,57,26,30,True,0,0,1,1,0,0
1,76,31,30,True,0,0,1,1,0,0
0,142,20,30,True,0,0,1,0,1,0
0,56,32,30,False,0,0,1,0,1,0
0,91,32,30,False,0,0,1,1,0,0
0,164,28,30,True,0,0,1,1,0,0
0,130,24,30,False,0,0,1,1,0,0
0,7,24,30,False,0,0,1,0,0,1
0,23,36,30,True,0,0,1,0,0,1
0,33,24,30,True,0,0,1,0,0,1
0,78,27,30,True,0,0,1,0,0,1
0,54,26,30,False,0,0,1,0,0,1
0,46,22,30,False,1,0,0,0,0,1
0,14,25,30,True,1,0,0,0,0,1
0,7,23,30,True,1,0,0,0,0,1
0,49,31,30,True,1,0,0,0,0,1
0,20,30,30,True,1,0,0,0,0,1
0,5,23,30,False,1,0,0,1,0,0
0,52,30,30,True,1,0,0,1,0,0
0,5,23,30,False,1,0,0,0,0,1
0,15,29,30,True,1,0,0,0,0,1
0,64,24,30,True,1,0,0,0,0,1
0,5,23,30,False,1,0,0,0,0,1
0,76,20,30,True,1,0,0,0,0,1
0,49,28,31,True,1,0,0,0,1,0
0,279,25,31,True,1,0,0,0,1,0
0,16,29,31,False,1,0,0,0,1,0
0,29,26,31,False,0,1,0,1,0,0
1,11,26,31,True,0,1,0,1,0,0
0,93,32,31,False,0,1,0,0,1,0
0,54,22,31,False,0,0,1,1,0,0
1,67,34,31,True,0,0,1,1,0,0
0,21,23,31,False,0,0,1,0,0,1
0,237,23,31,True,0,0,1,0,0,1
1,21,23,31,False,0,0,1,0,0,1
0,231,28,31,False,0,0,1,1,0,0
0,110,32,31,True,0,0,1,0,1,0
0,69,21,31,False,0,0,1,0,1,0
0,71,28,31,False,0,0,1,1,0,0
0,77,20,31,False,0,0,1,1,0,0
0,4,26,31,False,0,0,1,1,0,0
0,58,29,31,True,0,0,1,1,0,0
0,8,25,31,True,0,0,1,1,0,0
1,66,28,31,True,0,0,1,1,0,0
0,1,19,31,False,0,0,1,0,0,1
0,59,35,31,True,0,0,1,0,0,1
0,35,27,31,True,0,0,1,0,0,1
0,4,24,31,False,0,0,1,1,0,0
0,53,32,31,True,0,0,1,1,0,0
0,82,29,31,True,0,0,1,0,1,0
0,68,27,31,True,0,0,1,0,1,0
0,5,35,31,False,0,0,1,0,1,0
0,11,27,31,False,0,0,1,1,0,0
0,25,23,31,True,0,0,1,1,0,0
0,10,26,31,True,0,0,1,1,0,0
0,98,29,31,True,0,0,1,1,0,0
0,50,25,31,False,0,0,1,1,0,0
1,116,26,31,True,0,0,1,1,0,0
0,75,29,31,False,0,0,1,0,0,1
0,11,21,31,False,0,0,1,0,0,1
0,103,32,31,True,0,0,1,0,0,1
0,42,21,31,False,1,0,0,0,0,1
1,39,20,31,True,1,0,0,0,0,1
0,19,24,31,False,1,0,0,1,0,0
0,120,31,31,True,1,0,0,1,0,0
0,2,19,31,False,1,0,0,0,0,1
0,56,29,31,True,1,0,0,0,0,1
0,1,35,31,False,1,0,0,0,0,1
0,84,38,31,True,1,0,0,0,0,1
0,54,27,32,False,1,0,0,1,0,0
0,9,25,32,True,1,0,0,1,0,0
0,85,28,32,True,1,0,0,1,0,0
0,58,30,32,True,1,0,0,1,0,0
0,147,22,32,True,1,0,0,0,1,0
0,46,24,32,True,1,0,0,0,1,0
0,79,24,32,True,1,0,0,0,1,0
0,27,26,32,False,1,0,0,0,1,0
0,2,20,32,False,0,1,0,1,0,0
0,19,24,32,True,0,1,0,1,0,0
0,44,24,32,True,0,1,0,1,0,0
0,162,25,32,True,0,1,0,0,1,0
0,102,29,32,True,0,1,0,0,1,0
0,10,25,32,True,0,1,0,0,1,0
0,6,20,32,False,0,1,0,0,1,0
0,30,33,32,False,0,0,1,1,0,0
1,36,25,32,True,0,0,1,1,0,0
0,55,24,32,True,0,0,1,1,0,0
0,60,28,32,True,0,0,1,1,0,0
0,17,26,32,False,0,0,1,0,0,1
1,115,25,32,True,0,0,1,0,1,0
0,37,36,32,True,0,0,1,0,1,0
0,12,26,32,False,0,0,1,0,1,0
0,10,26,32,False,0,0,1,1,0,0
0,53,29,32,True,0,0,1,1,0,0
0,70,27,32,True,0,0,1,1,0,0
0,7,22,32,False,0,0,1,1,0,0
0,4,20,32,True,0,0,1,1,0,0
0,39,28,32,True,0,0,1,1,0,0
0,7,25,32,False,0,0,1,0,0,1
0,22,27,32,True,0,0,1,0,0,1
0,2,20,32,True,0,0,1,0,0,1
0,14,27,32,True,0,0,1,0,0,1
0,54,27,32,True,0,0,1,0,0,1
0,3,27,32,False,0,0,1,1,0,0
0,22,21,32,True,0,0,1,1,0,0
0,1,36,32,False,0,0,1,0,0,1
0,6,25,32,True,0,0,1,0,0,1
0,11,26,32,True,0,0,1,0,0,1
0,33,26,32,True,0,0,1,0,0,1
0,3,27,32,True,0,0,1,0,0,1
0,22,21,32,True,0,0,1,0,0,1
